model_type,comparison,prompt_idx,seed,image1_path,image2_path,fid_score
base,original_with_neg_vs_baseline,4,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0004_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0004_2025_neg.png,16.111658096313477
base,original_with_neg_vs_baseline,5,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0005_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0005_42_neg.png,17.942331314086914
base,original_with_neg_vs_baseline,5,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0005_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0005_1337_neg.png,15.61718463897705
base,original_with_neg_vs_baseline,5,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0005_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0005_2025_neg.png,19.159299850463867
base,original_with_neg_vs_baseline,6,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0006_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0006_42_neg.png,17.966663360595703
base,original_with_neg_vs_baseline,6,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0006_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0006_1337_neg.png,14.452119827270508
base,original_with_neg_vs_baseline,6,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0006_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0006_2025_neg.png,18.963306427001953
base,original_with_neg_vs_baseline,7,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0007_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0007_42_neg.png,14.944503784179688
base,original_with_neg_vs_baseline,7,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0007_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0007_1337_neg.png,16.414567947387695
base,original_with_neg_vs_baseline,7,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0007_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0007_2025_neg.png,9.662524223327637
base,original_with_neg_vs_baseline,8,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0008_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0008_42_neg.png,12.566108703613281
base,original_with_neg_vs_baseline,8,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0008_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0008_1337_neg.png,21.649120330810547
base,original_with_neg_vs_baseline,8,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0008_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0008_2025_neg.png,10.787591934204102
base,original_with_neg_vs_baseline,9,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0009_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0009_42_neg.png,7.971170902252197
base,original_with_neg_vs_baseline,9,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0009_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0009_1337_neg.png,21.823429107666016
base,original_with_neg_vs_baseline,9,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0009_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0009_2025_neg.png,15.067712783813477
base,original_with_neg_vs_baseline,10,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0010_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0010_42_neg.png,23.514034271240234
base,original_with_neg_vs_baseline,10,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0010_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0010_1337_neg.png,19.299100875854492
base,original_with_neg_vs_baseline,10,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0010_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0010_2025_neg.png,17.07172203063965
base,original_with_neg_vs_baseline,11,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0011_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0011_42_neg.png,17.10387420654297
base,original_with_neg_vs_baseline,11,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0011_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0011_1337_neg.png,13.51993179321289
base,original_with_neg_vs_baseline,11,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0011_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0011_2025_neg.png,22.856077194213867
base,original_with_neg_vs_baseline,12,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0012_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0012_42_neg.png,13.266109466552734
base,original_with_neg_vs_baseline,12,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0012_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0012_1337_neg.png,14.952773094177246
base,original_with_neg_vs_baseline,12,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0012_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0012_2025_neg.png,12.441840171813965
base,original_with_neg_vs_baseline,13,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0013_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0013_42_neg.png,14.069981575012207
base,original_with_neg_vs_baseline,13,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0013_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0013_1337_neg.png,10.204791069030762
base,original_with_neg_vs_baseline,13,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0013_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0013_2025_neg.png,13.472577095031738
base,original_with_neg_vs_baseline,14,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0014_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0014_42_neg.png,12.76744270324707
base,original_with_neg_vs_baseline,14,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0014_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0014_1337_neg.png,12.265118598937988
base,original_with_neg_vs_baseline,14,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0014_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0014_2025_neg.png,12.743648529052734
base,original_with_neg_vs_baseline,15,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0015_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0015_42_neg.png,13.248845100402832
base,original_with_neg_vs_baseline,15,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0015_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0015_1337_neg.png,13.965423583984375
base,original_with_neg_vs_baseline,15,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0015_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0015_2025_neg.png,14.297341346740723
dmd,original_with_neg_vs_baseline,0,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0000_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0000_42_neg.png,11.8645601272583
dmd,original_with_neg_vs_baseline,0,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0000_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0000_1337_neg.png,8.9639892578125
dmd,original_with_neg_vs_baseline,0,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0000_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0000_2025_neg.png,9.076056480407715
dmd,original_with_neg_vs_baseline,1,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0001_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0001_42_neg.png,8.506390571594238
dmd,original_with_neg_vs_baseline,1,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0001_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0001_1337_neg.png,8.253539085388184
dmd,original_with_neg_vs_baseline,1,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0001_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0001_2025_neg.png,8.874724388122559
dmd,original_with_neg_vs_baseline,2,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0002_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0002_42_neg.png,7.7424702644348145
dmd,original_with_neg_vs_baseline,2,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0002_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0002_1337_neg.png,13.914579391479492
dmd,original_with_neg_vs_baseline,2,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0002_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0002_2025_neg.png,9.944523811340332
dmd,original_with_neg_vs_baseline,3,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0003_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0003_42_neg.png,8.856816291809082
dmd,original_with_neg_vs_baseline,3,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0003_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0003_1337_neg.png,10.404054641723633
dmd,original_with_neg_vs_baseline,3,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0003_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0003_2025_neg.png,8.558387756347656
dmd,original_with_neg_vs_baseline,4,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0004_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0004_42_neg.png,6.2442522048950195
dmd,original_with_neg_vs_baseline,4,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0004_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0004_1337_neg.png,11.248007774353027
dmd,original_with_neg_vs_baseline,4,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0004_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0004_2025_neg.png,4.6619133949279785
dmd,original_with_neg_vs_baseline,5,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0005_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0005_42_neg.png,9.767754554748535
dmd,original_with_neg_vs_baseline,5,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0005_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0005_1337_neg.png,10.262890815734863
dmd,original_with_neg_vs_baseline,5,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0005_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0005_2025_neg.png,10.015401840209961
dmd,original_with_neg_vs_baseline,6,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0006_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0006_42_neg.png,11.679970741271973
dmd,original_with_neg_vs_baseline,6,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0006_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0006_1337_neg.png,5.782574653625488
dmd,original_with_neg_vs_baseline,6,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0006_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0006_2025_neg.png,8.184478759765625
dmd,original_with_neg_vs_baseline,7,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0007_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0007_42_neg.png,10.256407737731934
dmd,original_with_neg_vs_baseline,7,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0007_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0007_1337_neg.png,6.872171878814697
dmd,original_with_neg_vs_baseline,7,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0007_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0007_2025_neg.png,8.918071746826172
dmd,original_with_neg_vs_baseline,8,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0008_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0008_42_neg.png,5.772181510925293
dmd,original_with_neg_vs_baseline,8,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0008_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0008_1337_neg.png,14.916962623596191
dmd,original_with_neg_vs_baseline,8,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0008_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0008_2025_neg.png,14.021655082702637
dmd,original_with_neg_vs_baseline,9,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0009_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0009_42_neg.png,5.012606143951416
dmd,original_with_neg_vs_baseline,9,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0009_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0009_1337_neg.png,12.066203117370605
dmd,original_with_neg_vs_baseline,9,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0009_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0009_2025_neg.png,8.350290298461914
dmd,original_with_neg_vs_baseline,10,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0010_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0010_42_neg.png,15.146405220031738
dmd,original_with_neg_vs_baseline,10,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0010_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0010_1337_neg.png,15.745003700256348
dmd,original_with_neg_vs_baseline,10,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0010_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0010_2025_neg.png,12.632956504821777
dmd,original_with_neg_vs_baseline,11,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0011_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0011_42_neg.png,11.349095344543457
dmd,original_with_neg_vs_baseline,11,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0011_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0011_1337_neg.png,15.132534980773926
dmd,original_with_neg_vs_baseline,11,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0011_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0011_2025_neg.png,13.36094856262207
dmd,original_with_neg_vs_baseline,12,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0012_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0012_42_neg.png,16.72132682800293
dmd,original_with_neg_vs_baseline,12,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0012_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0012_1337_neg.png,17.38367462158203
dmd,original_with_neg_vs_baseline,12,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0012_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0012_2025_neg.png,18.66431427001953
dmd,original_with_neg_vs_baseline,13,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0013_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0013_42_neg.png,13.764531135559082
dmd,original_with_neg_vs_baseline,13,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0013_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0013_1337_neg.png,17.116870880126953
dmd,original_with_neg_vs_baseline,13,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0013_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0013_2025_neg.png,19.606170654296875
dmd,original_with_neg_vs_baseline,14,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0014_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0014_42_neg.png,9.244491577148438
dmd,original_with_neg_vs_baseline,14,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0014_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0014_1337_neg.png,10.157095909118652
dmd,original_with_neg_vs_baseline,14,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0014_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0014_2025_neg.png,12.719603538513184
dmd,original_with_neg_vs_baseline,15,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0015_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0015_42_neg.png,8.392603874206543
dmd,original_with_neg_vs_baseline,15,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0015_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0015_1337_neg.png,9.247424125671387
dmd,original_with_neg_vs_baseline,15,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/baseline/0015_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/dmd/with_negative/0015_2025_neg.png,12.96226978302002
hyper,original_with_neg_vs_baseline,0,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0000_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0000_42_neg.png,15.44186782836914
hyper,original_with_neg_vs_baseline,0,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0000_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0000_1337_neg.png,18.624597549438477
hyper,original_with_neg_vs_baseline,0,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0000_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0000_2025_neg.png,13.70340347290039
hyper,original_with_neg_vs_baseline,1,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0001_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0001_42_neg.png,12.778501510620117
hyper,original_with_neg_vs_baseline,1,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0001_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0001_1337_neg.png,22.395898818969727
hyper,original_with_neg_vs_baseline,1,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0001_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0001_2025_neg.png,12.750868797302246
hyper,original_with_neg_vs_baseline,2,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0002_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0002_42_neg.png,17.021976470947266
hyper,original_with_neg_vs_baseline,2,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0002_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0002_1337_neg.png,17.938602447509766
hyper,original_with_neg_vs_baseline,2,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0002_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0002_2025_neg.png,16.85120964050293
hyper,original_with_neg_vs_baseline,3,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0003_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0003_42_neg.png,15.168251037597656
hyper,original_with_neg_vs_baseline,3,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0003_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0003_1337_neg.png,17.59062957763672
hyper,original_with_neg_vs_baseline,3,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0003_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0003_2025_neg.png,13.615649223327637
hyper,original_with_neg_vs_baseline,4,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/baseline/0004_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/hyper/with_negative/0004_42_neg.png,14.153204917907715
